#ticks	median	decon
1 	 0.478779 	 -3.11295e-07
2 	 1.27231 	 -3.12448e-07
3 	 0.484931 	 -3.1215e-07
4 	 0.467572 	 -3.15587e-07
5 	 0.681992 	 -3.16421e-07
6 	 -0.576312 	 -3.19084e-07
7 	 -0.915885 	 -3.22163e-07
8 	 -1.45604 	 -3.23296e-07
9 	 -1.48609 	 -3.23653e-07
10 	 -2.33265 	 -3.2568e-07
11 	 -2.19149 	 -3.26832e-07
12 	 -3.08626 	 -3.26474e-07
13 	 -3.88522 	 -3.28779e-07
14 	 -3.90448 	 -3.30051e-07
15 	 -4.03654 	 -3.30905e-07
16 	 -3.04689 	 -3.32832e-07
17 	 -4.29508 	 -3.34149e-07
18 	 -3.44577 	 -3.35852e-07
19 	 -4.42483 	 -3.35972e-07
20 	 -4.51878 	 -3.3919e-07
21 	 -4.84447 	 -3.4068e-07
22 	 -4.30317 	 -3.43045e-07
23 	 -3.62649 	 -3.43879e-07
24 	 -3.02474 	 -3.47137e-07
25 	 -2.28235 	 -3.49601e-07
26 	 -2.83544 	 -3.47455e-07
27 	 -2.26616 	 -3.54449e-07
28 	 -0.941363 	 -3.59535e-07
29 	 -0.485109 	 -3.57628e-07
30 	 -0.162425 	 -3.59535e-07
31 	 1.02671 	 -3.56674e-07
32 	 1.00744 	 -3.58025e-07
33 	 1.81273 	 -3.6176e-07
34 	 2.19286 	 -3.64304e-07
35 	 3.07785 	 -3.65973e-07
36 	 4.58244 	 -3.67204e-07
37 	 3.62653 	 -3.69211e-07
38 	 4.14299 	 -3.70344e-07
39 	 3.42143 	 -3.72648e-07
40 	 4.63093 	 -3.75986e-07
41 	 5.10564 	 -3.7543e-07
42 	 4.83224 	 -3.77436e-07
43 	 5.96684 	 -3.78092e-07
44 	 5.32446 	 -3.7999e-07
45 	 4.27849 	 -3.80536e-07
46 	 5.16448 	 -3.82538e-07
47 	 4.17433 	 -3.83526e-07
48 	 2.60503 	 -3.88026e-07
49 	 2.20834 	 -3.87887e-07
50 	 1.7205 	 -3.90589e-07
51 	 -0.0900178 	 -3.92765e-07
52 	 -0.447968 	 -3.94215e-07
53 	 -1.218 	 -3.97702e-07
54 	 -1.70508 	 -3.98765e-07
55 	 -1.39108 	 -4.01467e-07
56 	 -2.54088 	 -4.03156e-07
57 	 -3.41127 	 -4.05381e-07
58 	 -3.05318 	 -4.06573e-07
59 	 -3.39404 	 -4.07994e-07
60 	 -3.31987 	 -4.10587e-07
61 	 -3.34775 	 -4.11669e-07
62 	 -2.31178 	 -4.13368e-07
63 	 -1.52622 	 -4.15315e-07
64 	 -2.62265 	 -4.17928e-07
65 	 -3.16395 	 -4.19458e-07
66 	 -1.97301 	 -4.20153e-07
67 	 -2.13749 	 -4.22527e-07
68 	 -0.576895 	 -4.25011e-07
69 	 -1.09314 	 -4.27365e-07
70 	 -0.394268 	 -4.27892e-07
71 	 -0.530644 	 -4.30157e-07
72 	 -0.0337734 	 -4.3267e-07
73 	 -0.431417 	 -4.33902e-07
74 	 -1.42414 	 -4.3569e-07
75 	 -2.43315 	 -4.38621e-07
76 	 -0.731027 	 -4.40021e-07
77 	 -0.429261 	 -4.42227e-07
78 	 0.0397568 	 -4.43955e-07
79 	 0.349408 	 -4.45992e-07
80 	 1.58727 	 -4.48207e-07
81 	 1.48441 	 -4.50949e-07
82 	 1.4658 	 -4.53413e-07
83 	 2.31705 	 -4.54803e-07
84 	 1.42526 	 -4.56999e-07
85 	 2.67134 	 -4.57704e-07
86 	 1.80111 	 -4.62522e-07
87 	 2.18414 	 -4.63128e-07
88 	 1.92568 	 -4.66903e-07
89 	 2.08876 	 -4.67797e-07
90 	 2.43038 	 -4.72883e-07
91 	 2.40682 	 -4.72854e-07
92 	 2.81199 	 -4.75019e-07
93 	 1.82973 	 -4.77622e-07
94 	 2.40901 	 -4.80165e-07
95 	 1.43825 	 -4.81745e-07
96 	 2.0213 	 -4.84119e-07
97 	 1.47993 	 -4.86334e-07
98 	 0.700172 	 -4.89563e-07
99 	 0.00921154 	 -4.91182e-07
100 	 -0.954725 	 -4.93556e-07
101 	 -1.53404 	 -4.9603e-07
102 	 -1.66876 	 -4.98464e-07
103 	 -0.546127 	 -5.00143e-07
104 	 -0.417897 	 -5.02517e-07
105 	 0.617914 	 -5.05487e-07
106 	 0.1399 	 -5.06361e-07
107 	 -0.290206 	 -5.08964e-07
108 	 -0.338168 	 -5.13673e-07
109 	 0.336071 	 -5.16077e-07
110 	 1.30055 	 -5.16772e-07
111 	 2.16452 	 -5.20428e-07
112 	 1.62389 	 -5.23398e-07
113 	 0.607178 	 -5.24998e-07
114 	 -0.257764 	 -5.27998e-07
115 	 -0.816943 	 -5.29826e-07
116 	 -1.93058 	 -5.33183e-07
117 	 -2.5237 	 -5.34773e-07
118 	 -2.45875 	 -5.37703e-07
119 	 -3.00384 	 -5.40862e-07
120 	 -2.56944 	 -5.41091e-07
121 	 -2.23045 	 -5.44747e-07
122 	 -2.41745 	 -5.46207e-07
123 	 -0.334652 	 -5.49674e-07
124 	 -1.02134 	 -5.52317e-07
125 	 -0.306706 	 -5.55495e-07
